id	assetCode	windowTimestamp	dataType	systemVersion	buzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	loveHate	anger	debtDefault	innovation	marketRisk	analystRating	dividends	earningsForecast	fundamentalStrength	layoffs	litigation	managementChange	managementTrust	mergers
mp:2016-01-01_00.10.00.News_Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:10:00.000Z	News_Social	2.2.2	16.0	-0.156250					-0.125000	-0.093750	0.031250	0.031250			0.125000					0.250000														
mp:2016-01-01_00.10.00.News.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:10:00.000Z	News	2.2.2	12.0	-0.166667					-0.166667						0.083333					0.333333														
mp:2016-01-01_00.10.00.Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:10:00.000Z	Social	2.2.2	4.0	-0.125000						-0.375000	0.125000	0.125000			0.250000																			
mp:2016-01-01_00.11.00.News_Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:11:00.000Z	News_Social	2.2.2	9.0	0.222222										0.222222	0.250000							0.111111			-0.055556									
mp:2016-01-01_00.11.00.Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:11:00.000Z	Social	2.2.2	9.0	0.222222										0.222222	0.250000							0.111111			-0.055556									
mp:2016-01-01_00.12.00.News_Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:12:00.000Z	News_Social	2.2.2	6.5	0.461538				0.038462		-0.076923		-0.076923			0.076923										0.038462									
mp:2016-01-01_00.12.00.Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:12:00.000Z	Social	2.2.2	6.5	0.461538				0.038462		-0.076923		-0.076923			0.076923										0.038462									
mp:2016-01-01_00.14.00.News_Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:14:00.000Z	News_Social	2.2.2	18.0	0.222222						-0.277778		-0.111111			0.000000	-0.111111																		
mp:2016-01-01_00.14.00.News.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:14:00.000Z	News	2.2.2	18.0	0.222222						-0.277778		-0.111111			0.000000	-0.111111																		
mp:2016-01-01_00.15.00.News_Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:15:00.000Z	News_Social	2.2.2	42.5	-0.211765	-0.141176						0.047059	0.211765	-0.011765		0.114706					0.188235			0.117647	0.023529	-0.058824									0.023529
mp:2016-01-01_00.15.00.News.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:15:00.000Z	News	2.2.2	42.5	-0.211765	-0.141176						0.047059	0.211765	-0.011765		0.114706					0.188235			0.117647	0.023529	-0.058824									0.023529
mp:2016-01-01_00.16.00.News_Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:16:00.000Z	News_Social	2.2.2	8.0	-0.125000						-0.375000	0.125000	0.125000			0.250000																			
mp:2016-01-01_00.16.00.Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:16:00.000Z	Social	2.2.2	8.0	-0.125000						-0.375000	0.125000	0.125000			0.250000																			
mp:2016-01-01_00.17.00.News_Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:17:00.000Z	News_Social	2.2.2	4.0	-0.750000								0.250000			0.250000																			
mp:2016-01-01_00.17.00.News.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:17:00.000Z	News	2.2.2	4.0	-0.750000								0.250000			0.250000																			
mp:2016-01-01_00.20.00.News_Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:20:00.000Z	News_Social	2.2.2	16.0	0.375000						-0.312500		-0.125000			-0.031250	-0.125000																		
mp:2016-01-01_00.20.00.News.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:20:00.000Z	News	2.2.2	16.0	0.375000						-0.312500		-0.125000			-0.031250	-0.125000																		
mp:2016-01-01_00.22.00.News_Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:22:00.000Z	News_Social	2.2.2	28.0	0.000000				0.008929	0.071429	-0.142857	0.035714	0.000000			0.062500					0.071429		-0.035714			0.017857				0.071429					
mp:2016-01-01_00.22.00.News.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:22:00.000Z	News	2.2.2	20.0	0.050000				0.012500	0.100000	-0.050000		-0.050000			-0.012500					0.100000		-0.050000			0.025000				0.100000					
mp:2016-01-01_00.22.00.Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:22:00.000Z	Social	2.2.2	8.0	-0.125000						-0.375000	0.125000	0.125000			0.250000																			
mp:2016-01-01_00.23.00.News_Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:23:00.000Z	News_Social	2.2.2	64.0	-0.125000				-0.007813	0.156250	-0.187500	0.187500	0.031250	-0.015625		0.144531					0.031250									-0.015625		0.015625			
mp:2016-01-01_00.23.00.News.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:23:00.000Z	News	2.2.2	64.0	-0.125000				-0.007813	0.156250	-0.187500	0.187500	0.031250	-0.015625		0.144531					0.031250									-0.015625		0.015625			
mp:2016-01-01_00.26.00.News_Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:26:00.000Z	News_Social	2.2.2	12.0	-0.083333	-0.166667					0.083333	0.250000				0.187500	-0.083333		-0.083333							-0.041667									
mp:2016-01-01_00.26.00.Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:26:00.000Z	Social	2.2.2	12.0	-0.083333	-0.166667					0.083333	0.250000				0.187500	-0.083333		-0.083333							-0.041667									
mp:2016-01-01_00.27.00.News_Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:27:00.000Z	News_Social	2.2.2	64.0	-0.125000				-0.007813	0.156250	-0.187500	0.187500	0.031250	-0.015625		0.144531					0.031250									-0.015625		0.015625			
mp:2016-01-01_00.27.00.News.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:27:00.000Z	News	2.2.2	64.0	-0.125000				-0.007813	0.156250	-0.187500	0.187500	0.031250	-0.015625		0.144531					0.031250									-0.015625		0.015625			
mp:2016-01-01_00.29.00.News_Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:29:00.000Z	News_Social	2.2.2	90.0	-0.133333				-0.008333	0.133333	-0.133333	0.133333	0.022222	-0.011111		0.127778					0.044444		0.000000			-0.005556				-0.011111		0.011111			
mp:2016-01-01_00.29.00.News.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:29:00.000Z	News	2.2.2	90.0	-0.133333				-0.008333	0.133333	-0.133333	0.133333	0.022222	-0.011111		0.127778					0.044444		0.000000			-0.005556				-0.011111		0.011111			
mp:2016-01-01_00.31.00.News_Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:31:00.000Z	News_Social	2.2.2	64.0	-0.125000				-0.007813	0.156250	-0.187500	0.187500	0.031250	-0.015625		0.144531					0.031250									-0.015625		0.015625			
mp:2016-01-01_00.31.00.News.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:31:00.000Z	News	2.2.2	64.0	-0.125000				-0.007813	0.156250	-0.187500	0.187500	0.031250	-0.015625		0.144531					0.031250									-0.015625		0.015625			
mp:2016-01-01_00.32.00.News_Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:32:00.000Z	News_Social	2.2.2	72.0	-0.125000				-0.006944	0.138889	-0.180556	0.166667	0.027778	-0.013889		0.156250					0.027778									-0.013889		0.013889			
mp:2016-01-01_00.32.00.News.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:32:00.000Z	News	2.2.2	66.0	-0.121212				-0.007576	0.151515	-0.212121	0.181818	0.030303	-0.015152		0.147727					0.030303									-0.015152		0.015152			
mp:2016-01-01_00.32.00.Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:32:00.000Z	Social	2.2.2	6.0	-0.166667						0.166667					0.250000																			
mp:2016-01-01_00.33.00.News_Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:33:00.000Z	News_Social	2.2.2	13.0	0.230769					0.307692	0.153846					0.019231					0.153846														
mp:2016-01-01_00.33.00.News.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:33:00.000Z	News	2.2.2	13.0	0.230769					0.307692	0.153846					0.019231					0.153846														
mp:2016-01-01_00.35.00.News_Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:35:00.000Z	News_Social	2.2.2	12.0	-0.083333	-0.166667					0.083333	0.250000				0.187500	-0.083333		-0.083333							-0.041667									
mp:2016-01-01_00.35.00.News.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:35:00.000Z	News	2.2.2	12.0	-0.083333	-0.166667					0.083333	0.250000				0.187500	-0.083333		-0.083333							-0.041667									
mp:2016-01-01_00.37.00.News_Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:37:00.000Z	News_Social	2.2.2	64.5	-0.093023					0.186047	-0.170543	0.186047	0.023256			0.133721					0.031008					0.007752									
mp:2016-01-01_00.37.00.News.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:37:00.000Z	News	2.2.2	64.5	-0.093023					0.186047	-0.170543	0.186047	0.023256			0.133721					0.031008					0.007752									
mp:2016-01-01_00.41.00.News_Social.CMPNY_GRP.MPTRXJP225	MPTRXJP225	2016-01-01T00:41:00.000Z	News_Social	2.2.2	5.0	-0.200000						0.200000		0.200000	0.400000		0.250000																			
